"Name","cluster","gene_description"
"yadI","blue","predicted PTS Enzyme IIA  K02821 PTS system  ascorbate-specific IIA component [EC:2.7.1.69]"
"yadK","turquoise","predicted fimbrial-like adhesin protein"
"yadK","turquoise","predicted fimbrial-like adhesin protein"
"yadL","green","predicted fimbrial-like adhesin protein"
"yadM","turquoise","predicted fimbrial-like adhesin protein"
"yadN","brown","predicted fimbrial-like adhesin protein"
"yadS","green","inner membrane protein  UPF0126 family"
"yaeF","turquoise","predicted lipoprotein"
"yaeH","brown","conserved protein  UPF0325 family"
"yaeI","turquoise","phosphodiesterase with model substrate bis-pNPP  K07098"
"yaeI","turquoise","phosphodiesterase with model substrate bis-pNPP  K07098"
"yaeP","turquoise","conserved protein"
"yaeQ","blue","conserved protein"
"yaeR","blue","predicted lyase  K08234 glyoxylase I family protein"
"yafC","brown","predicted DNA-binding transcriptional regulator"
"yafD","brown","conserved protein"
"yafE","turquoise","predicted S-adenosyl-L-methionine-dependent methyltransferase"
"yafF","turquoise","pseudogene"
"yafJ","blue","predicted amidotransfease  K07008 glutamine amidotransferase"
"yafK","blue","conserved protein"
"yafL","turquoise","predicted lipoprotein and C40 family peptidase"
"yafN","turquoise","antitoxin of the YafO-YafN toxin-antitoxin system"
"yafN","turquoise","antitoxin of the YafO-YafN toxin-antitoxin system"
"yafP","blue","predicted acyltransferase with acyl-CoA N-acyltransferase domain  K03830 putative acetyltransferase [EC:2.3.1.-]"
"yafQ","black","translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ"
"yafQ","black","translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ"
"yafS","brown","predicted S-adenosyl-L-methionine-dependent methyltransferase"
"yafT","turquoise","lipoprotein"
"yafU","turquoise","pseudogene"
"yafV","brown","predicted C-N hydrolase family amidase  NAD(P)-binding  K08590 carbon-nitrogen hydrolase family protein"
"yafX","turquoise","CP4-6 prophage  predicted protein"
"yafY","turquoise","lipoprotein  inner membrane  overproduction stimulates degP expression  CP4-6 prophage"
"yafZ","yellow","CP4-6 prophage  conserved protein"
"yagA","blue","CP4-6 prophage  predicted DNA-binding transcriptional regulator"
"yagB","turquoise","pseudogene"
"yagE","blue","2-keto-3-deoxy gluconate (KDG) aldolase  CP4-6 prophage  K01714 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]"
"yagF","blue","CP4-6 prophage  predicted dehydratase"
"yagG","blue","CP4-6 prophage  predicted sugar transporter"
"yagH","blue","CP4-6 prophage  predicted xylosidase/arabinosidase  K01198 xylan 1 4-beta-xylosidase [EC:3.2.1.37]"
"yagI","blue","CP4-6 prophage  predicted DNA-binding transcriptional regulator"
"yagJ","turquoise","pseudogene"
"yagK","brown","CP4-6 prophage  conserved protein"
"yagL","blue","CP4-6 prophage  DNA-binding protein"
"yagM","pink","CP4-6 prophage  predicted protein"
"yagN","blue","CP4-6 prophage  predicted protein"
"yagP","turquoise","pseudogene"
"yagP","turquoise","pseudogene"
"yagU","turquoise","inner membrane protein  DUF1440 family  K08996 putative membrane protein"
"yahA","turquoise","c-di-GMP-specific phosphodiesterase  K13244 c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]"
"yahB","turquoise","predicted DNA-bindng transcriptional regulator"
"yahC","turquoise","predicted inner membrane protein"
"yahD","turquoise","ankyrin repeat protein  K06867"
"yahE","turquoise","predicted protein"
"yahF","magenta","predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain"
"yahG","brown","conserved protein"
"yahI","blue","carbamate kinase-like protein  K00926 carbamate kinase [EC:2.7.2.2]"
"yahJ","pink","predicted deaminase with metallo-dependent hydrolase domain"
"yahK","turquoise","predicted oxidoreductase  Zn-dependent and NAD(P)-binding  K13979 uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]"
"yahL","red","predicted protein"
"yahM","turquoise","predicted protein"
"yahN","turquoise","amino acid exporter for proline  lysine  glutamate  homoserine  K03329 amino acid exporter"
"yahO","turquoise","periplasmic protein  function unknown  YhcN family"
"yahO","turquoise","periplasmic protein  function unknown  YhcN family"
"yaiA","blue","OxyR-regulated conserved protein"
"yaiE","blue","conserved protein  UPF0345 family  K09913 hypothetical protein"
"yaiI","turquoise","conserved protein  UPF0178 family  downregulated by beryllium  K09768 hypothetical protein"
"yaiL","brown","DUF2058 family protein  K09912 hypothetical protein"
"yaiO","turquoise","outer membrane protein"
"yaiP","blue","predicted glucosyltransferase"
"yaiS","red","conserved protein"
"yaiS","red","conserved protein"
"yaiT","pink","pseudogene"
"yaiT","pink","pseudogene"
"yaiV","turquoise","predicted DNA-binding transcriptional regulator"
"yaiW","red","probable lipoprotein required for swarming phenotype"
"yaiX","red","pseudogene"
"yaiX","red","pseudogene"
"yaiY","blue","inner membrane protein  DUF2755 family"
"yaiZ","turquoise","predicted inner membrane protein  DUF2754 family"
"yajC","brown","SecYEG protein translocase auxillary subunit  K03210 preprotein translocase subunit YajC"
"yajC","brown","SecYEG protein translocase auxillary subunit  K03210 preprotein translocase subunit YajC"
"yajD","turquoise","HNH nuclease family protein"
"yajG","turquoise","predicted lipoprotein  K07286 uncharacterized lipoprotein"
"yajI","blue","predicted lipoprotein"
"yajL","turquoise","oxidative-stress-resistance chaperone  K03152 4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis"
"yajO","turquoise","2-carboxybenzaldehyde reductase"
"yajQ","turquoise","phage Phi6 host factor  ATP/GTP binding protein  K09767 hypothetical protein"
"yajR","turquoise","predicted transporter"
"ybaA","brown","conserved protein  DUF1428 family"
"ybaB","turquoise","conserved protein  K09747 hypothetical protein"
"ybaE","turquoise","predicted transporter subunit: periplasmic-binding component of ABC superfamily"
"ybaK","turquoise","conserved protein"
"ybaL","blue","predicted transporter with NAD(P)-binding Rossmann-fold domain  K03455 monovalent cation:H+ antiporter-2  CPA2 family"
"ybaM","blue","predicted protein"
"ybaN","grey","inner membrane protein  DUF454 family  K09790 hypothetical protein"
"ybaO","grey","predicted DNA-binding transcriptional regulator  K05800 Lrp/AsnC family transcriptional regulator"
"ybaO","grey","predicted DNA-binding transcriptional regulator  K05800 Lrp/AsnC family transcriptional regulator"
"ybaO","grey","predicted DNA-binding transcriptional regulator  K05800 Lrp/AsnC family transcriptional regulator"
"ybaP","red","conserved protein  TraB family  K09973 hypothetical protein"
"ybaQ","turquoise","predicted DNA-binding transcriptional regulator"
"ybaT","blue","predicted amino acid transporter"
"ybaV","turquoise","conserved protein  ComEA homolog  K02237 competence protein ComEA"
"ybaY","turquoise","outer membrane lipoprotein  K09914 putative lipoprotein"
"ybaZ","blue","excision repair protein  alkyltransferase-like protein ATL  K07443 methylated-DNA-protein-cysteine methyltransferase related protein"
"ybaZ","blue","excision repair protein  alkyltransferase-like protein ATL  K07443 methylated-DNA-protein-cysteine methyltransferase related protein"
"ybbA","blue","predicted transporter subunit: ATP-binding component of ABC superfamily  K02003 putative ABC transport system ATP-binding protein"
"ybbC","turquoise","predicted protein"
"ybbD","pink","pseudogene"
"ybbJ","green","inner membrane protein that stimulates the ftsH htpX mutant suppressor activity of QmcA  K07340 hypothetical protein"
"ybbJ","green","inner membrane protein that stimulates the ftsH htpX mutant suppressor activity of QmcA  K07340 hypothetical protein"
"ybbJ","green","inner membrane protein that stimulates the ftsH htpX mutant suppressor activity of QmcA  K07340 hypothetical protein"
"ybbJ","green","inner membrane protein that stimulates the ftsH htpX mutant suppressor activity of QmcA  K07340 hypothetical protein"
"ybbJ","green","inner membrane protein that stimulates the ftsH htpX mutant suppressor activity of QmcA  K07340 hypothetical protein"
"ybbL","red","predicted transporter subunit: ATP-binding component of ABC superfamily  K02068 putative ABC transport system ATP-binding protein"
"ybbM","turquoise","inner membrane protein  UPF0014 family  K02069 putative ABC transport system permease protein"
"ybbN","turquoise","DnaK co-chaperone  thioredoxin-like protein  K05838 putative thioredoxin"
"ybbO","turquoise","predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain  K00540 [EC:1.-.-.-]"
"ybbP","turquoise","predicted ABC transporter permease  K02004 putative ABC transport system permease protein"
"ybbW","turquoise","predicted allantoin transporter  K10975 allantoin permease"
"ybbY","blue","predicted uracil/xanthine transporter"
"ybcF","turquoise","predicted carbamate kinase  K00926 carbamate kinase [EC:2.7.2.2]"
"ybcH","brown","predicted protein"
"ybcI","turquoise","inner membrane protein  DUF457 family  K07038 inner membrane protein"
"ybcJ","yellow","ribosome-associated protein  predicted RNA-binding protein  K14761 ribosome-associated protein"
"ybcK","red","DLP12 prophage  predicted recombinase"
"ybcL","turquoise","DLP12 prophage  secreted protein  UPF0098 family  K06910"
"ybcM","green","DLP12 prophage  predicted DNA-binding transcriptional regulator"
"ybcN","grey","DLP12 prophage  predicted protein"
"ybcO","green","DLP12 prophage  predicted protein"
"ybcV","blue","DLP12 prophage  predicted protein"
"ybcW","grey","DLP12 prophage  predicted protein"
"ybcY","turquoise","pseudogene"
"ybdD","turquoise","conserved protein  DUF466 family"
"ybdF","black","conserved protein"
"ybdH","turquoise","predicted oxidoreductase  K08317 uncharacterized oxidoreductase [EC:1.1.-.-]"
"ybdJ","turquoise","predicted inner membrane protein"
"ybdK","turquoise","weak gamma-glutamyl:cysteine ligase (EC:6.3.2.2)  K06048 carboxylate-amine ligase [EC:6.3.-.-]"
"ybdL","blue","methionine aminotransferase  PLP-dependent (EC:2.6.1.-)  K14287 methionine aminotransferase [EC:2.6.1.-]"
"ybdM","turquoise","conserved protein"
"ybdM","turquoise","conserved protein"
"ybdN","turquoise","conserved protein"
"ybdR","turquoise","predicted oxidoreductase  Zn-dependent and NAD(P)-binding"
"ybdZ","brown","stimulator of EntF adenylation activity  MbtH-like"
"ybdZ","brown","stimulator of EntF adenylation activity  MbtH-like"
"ybeD","turquoise","conserved protein  UPF0250 family  K09158 hypothetical protein"
"ybeF","turquoise","predicted DNA-binding transcriptional regulator"
"ybeL","blue","conserved protein  DUF1451 family"
"ybeM","blue","pseudogene"
"ybeQ","turquoise","conserved protein  K07126"
"ybeR","brown","predicted protein"
"ybeT","red","conserved protein  Sel1 family  K07126"
"ybeU","turquoise","conserved protein  DUF1266 family"
"ybeX","red","predicteed ion transport  K06189 magnesium and cobalt transporter"
"ybeY","yellow","metal-binding heat shock protein required for rRNA maturation  K07042 probable rRNA maturation factor"
"ybeZ","yellow","predicted protein with nucleoside triphosphate hydrolase domain  K06217 phosphate starvation-inducible protein PhoH and related proteins"
"ybfA","turquoise","predicted protein"
"ybfB","turquoise","predicted membrane protein"
"ybfC","turquoise","predicted protein"
"ybfD","turquoise","conserved protein"
"ybfD","turquoise","conserved protein"
"ybfE","turquoise","conserved protein  LexA-regulated"
"ybfE","turquoise","conserved protein  LexA-regulated"
"ybfF","turquoise","acyl-CoA esterase  K01175 [EC:3.1.-.-]"
"ybfG","blue","pseudogene"
"ybfI","yellow","pseudogene"
"ybfK","blue","hypothetical protein"
"ybfL","turquoise","pseudogene"
"ybfO","turquoise","pseudogene"
"ybfP","turquoise","lipoprotein"
"ybfQ","turquoise","pseudogene"
"ybgA","green","conserved protein  DUF1722 family"
"ybgC","yellow","acyl-CoA thioesterase  involved in phospholipid metabolism  K07107 acyl-CoA thioester hydrolase [EC:3.1.2.-]"
"ybgD","blue","predicted fimbrial-like adhesin protein"
"ybgE","blue","conserved protein"
"ybgF","turquoise","periplasmic TolA-binding protein"
"ybgI","blue","conserved metal-binding protein  NIF3 family"
"ybgJ","turquoise","predicted allophanate hydrolase  subunit 1"
"ybgK","grey","predicted allophanate hydrolase  subunit 2"
"ybgL","blue","conserved protein  UPF0271 family  K07160 UPF0271 protein"
"ybgO","black","predicted fimbrial-like adhesin protein"
"ybgP","black","predicted periplasmic pilus chaperone"
"ybgQ","turquoise","predicted outer membrane protein"
"ybgS","green","conserved protein"
"ybgT","red","conserved protein"
"ybhA","grey","pyridoxal phosphate (PLP) phosphatase  K07024"
"ybhB","yellow","kinase inhibitor homolog  UPF0098 family  K06910"
"ybhC","yellow","acyl-CoA thioesterase  lipoprotein  K01051 pectinesterase [EC:3.1.1.11]"
"ybhD","blue","predicted DNA-binding transcriptional regulator"
"ybhF","turquoise","fused predicted transporter subunits of ABC superfamily: ATP-binding components  K01990 ABC-2 type transport system ATP-binding protein"
"ybhG","turquoise","predicted membrane fusion protein (MFP) component of efflux pump  membrane anchor  K01993 HlyD family secretion protein"
"ybhH","turquoise","conserved protein  K09788 hypothetical protein"
"ybhI","turquoise","predicted transporter  K03319 divalent anion:Na+ symporter  DASS family"
"ybhJ","turquoise","predicted hydratase  K01681 aconitate hydratase [EC:4.2.1.3]"
"ybhK","blue","predicted transferase with NAD(P)-binding Rossmann-fold domain"
"ybhL","brown","inner membrane protein  UPF0005 family  K06890"
"ybhM","turquoise","inner membrane protein  UPF0005 family  K06890"
"ybhN","green","conserved inner membrane protein  K07027"
"ybhP","yellow","conserved protein  endo/exonuclease/phosphatase family PFAM PF03372  K06896"
"ybhQ","brown","inner membrane protein"
"ybhR","turquoise","predicted transporter subunit: membrane component of ABC superfamily  K01992 ABC-2 type transport system permease protein"
"ybhS","turquoise","predicted transporter subunit: membrane component of ABC superfamily  K01992 ABC-2 type transport system permease protein"
"ybiA","blue","conserved protein  DUF1768 family  K09935 hypothetical protein"
"ybiB","blue","predicted family 3 glycosyltransferase"
"ybiC","yellow","predicted dehydrogenase  K13574 uncharacterized oxidoreductase [EC:1.1.1.-]"
"ybiH","blue","predicted DNA-binding transcriptional regulator"
"ybiI","blue","DksA-type zinc finger protein"
"ybiJ","blue","predicted protein"
"ybiO","blue","mechanosensitive channel protein  intermediate conductance"
"ybiP","green","predicted hydrolase  inner membrane"
"ybiR","green","predicted transporter"
"ybiS","turquoise","L D-transpeptidase linking Lpp to murein  K16291 L D-transpeptidase"
"ybiT","turquoise","fused predicted transporter subunits of ABC superfamily: ATP-binding components"
"ybiU","black","predicted protein"
"ybiV","blue","sugar phosphatase  preference for fructose-1-P  ribose-5-P and glucose-6-P  K07757 sugar-phosphatase [EC:3.1.3.23]"
"ybiW","turquoise","predicted pyruvate formate lyase  K00656 formate C-acetyltransferase [EC:2.3.1.54]"
"ybiX","black","conserved protein  Fe(II)-dependent oxygenase superfamily  K07336 PKHD-type hydroxylase [EC:1.14.11.-]"
"ybiY","blue","predicted pyruvate formate lyase activating enzyme  K04069 pyruvate formate lyase activating enzyme [EC:1.97.1.4]"
"ybjC","turquoise","conserved protein  DUF1418 family"
"ybjD","black","conserved protein with nucleoside triphosphate hydrolase domain  K07459 putative ATP-dependent endonuclease of the OLD family"
"ybjE","turquoise","predicted transporter"
"ybjG","turquoise","undecaprenyl pyrophosphate phosphatase  K06153 undecaprenyl-diphosphatase [EC:3.6.1.27]"
"ybjH","turquoise","predicted protein"
"ybjI","turquoise","FMN and erythrose-4-P phosphatase  K07024"
"ybjJ","green","predicted transporter"
"ybjL","blue","predicted transporter  K07085 putative transport protein"
"ybjM","turquoise","inner membrane protein"
"ybjN","red","negative regulator of motility  multicopy suppressor of coaA(Ts)"
"ybjN","red","negative regulator of motility  multicopy suppressor of coaA(Ts)"
"ybjO","turquoise","inner membrane protein  DUF2593 family"
"ybjP","black","lipoprotein"
"ybjQ","turquoise","conserved protein  UPF0145 family"
"ybjS","turquoise","predicted NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain"
"ybjT","turquoise","conserved protein with NAD(P)-binding Rossmann-fold domain"
"ybjX","brown","conserved protein  K09824 hypothetical protein"
"ycaC","turquoise","predicted hydrolase  isochorismatase family"
"ycaD","turquoise","predicted MFS-type transporter  K08219 MFS transporter  UMF2 family  putative MFS family transporter protein"
"ycaI","green","inner membrane protein  ComEC family of competence proteins  K02238 competence protein ComEC"
"ycaK","turquoise","conserved protein  K00358 [EC:1.6.99.-]"
"ycaL","turquoise","predicted peptidase with chaperone function  K07387 putative metalloprotease [EC:3.4.24.-]"
"ycaM","turquoise","predicted transporter"
"ycaO","brown","ribosomal protein S12 methylthiotransferase accessory factor  K09136 ribosomal protein S12 methylthiotransferase"
"ycaP","blue","predicted inner membrane protein  UPF0702 family"
"ycaQ","black","conserved protein  K09927 hypothetical protein"
"ycaR","grey","peroxide and acid resistance protein  UPF0434 family  K09791 hypothetical protein"
"ycbB","red","murein L D-transpeptidase"
"ycbC","red","conserved protein  DUF218 superfamily"
"ycbF","blue","predicted periplasmic pilini chaperone"
"ycbJ","red","conserved protein"
"ycbK","brown","conserved protein"
"ycbL","brown","predicted metal-binding enzyme"
"ycbL","brown","predicted metal-binding enzyme"
"ycbU","turquoise","predicted fimbrial-like adhesin protein"
"ycbV","turquoise","predicted fimbrial-like adhesin protein"
"ycbX","turquoise","predicted 2Fe-2S cluster-containing protein  6-N-hydroxylaminopurine resistance protein  K07140"
"ycbZ","pink","predicted peptidase  K04770 Lon-like ATP-dependent protease [EC:3.4.21.-]"
"yccA","blue","HflBKC-binding inner membrane protein  UPF0005 family  K06890"
"yccB","blue","hypothetical protein"
"yccE","blue","predicted protein"
"yccF","blue","inner membrane protein  DUF307 family"
"yccJ","turquoise","predicted protein"
"yccM","blue","predicted 4Fe-4S membrane protein"
"yccS","red","inner membrane protein"
"yccT","turquoise","conserved protein  K09909 hypothetical protein"
"yccU","turquoise","predicted CoA-binding protein  K06929"
"yccX","turquoise","weak acylphosphatase  K01512 acylphosphatase [EC:3.6.1.7]"
"ycdT","yellow","diguanylate cyclase  membrane-anchored"
"ycdU","turquoise","predicted inner membrane protein"
"ycdX","green","alkaline phosphatase required for swarming  K04477 putative hydrolase"
"ycdY","turquoise","YcdX chaperone  redox enzyme maturation protein (REMP) required for swarming"
"ycdZ","turquoise","DUF1097 family inner membrane protein"
"yceA","turquoise","predicted rhodanese-related sulfurtransferase  K07146 UPF0176 protein"
"yceB","turquoise","lipoprotein  DUF1439 family"
"yceD","brown","conserved protein  DUF177 family  K07040 uncharacterized protein"
"yceF","turquoise","Maf-like protein"
"yceG","red","septation protein  ampicillin sensitivity  K07082 UPF0755 protein"
"yceH","turquoise","conserved protein  UPF0502 family  K09915 hypothetical protein"
"yceI","blue","secreted protein"
"yceJ","turquoise","predicted cytochrome b561"
"yceK","blue","outer membrane integrity lipoprotein"
"yceM","turquoise","predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain  K03810 virulence factor"
"yceO","turquoise","predicted protein"
"yceQ","turquoise","predicted protein"
"ycfH","red","predicted DNAse  K03424 TatD DNase family protein [EC:3.1.21.-]"
"ycfH","red","predicted DNAse  K03424 TatD DNase family protein [EC:3.1.21.-]"
"ycfJ","turquoise","predicted protein"
"ycfL","blue","predicted protein"
"ycfP","blue","conserved protein  K07000"
"ycfQ","turquoise","repressor for bhsA(ycfR)"
"ycfQ","turquoise","repressor for bhsA(ycfR)"
"ycfS","turquoise","L D-transpeptidase linking Lpp to murein  K16291 L D-transpeptidase"
"ycfT","red","inner membrane protein"
"ycfZ","turquoise","inner membrane protein"
"ycgB","turquoise","conserved protein"
"ycgG","turquoise","predicted membrane-anchored cyclic-di-GMP phosphodiesterase"
"ycgH","turquoise","pseudogene"
"ycgI","turquoise","pseudogene"
"ycgJ","turquoise","predicted protein"
"ycgL","blue","conserved protein  K09902 hypothetical protein"
"ycgM","blue","predicted isomerase/hydrolase"
"ycgN","turquoise","UPF0153 family cysteine cluster protein  function unknown  K09160 hypothetical protein"
"ycgR","blue","flagellar velocity braking protein  c-di-GMP-regulated"
"ycgV","green","predicted adhesin"
"ycgX","turquoise","predicted protein"
"ycgY","turquoise","predicted protein"
"ycgZ","blue","RcsB connector protein for regulation of biofilm and acid-resistance"
"ycgZ","blue","RcsB connector protein for regulation of biofilm and acid-resistance"
"ychA","yellow","conserved protein"
"ychE","turquoise","predicted inner membrane protein"
"ychF","turquoise","catalase inhibitor protein  ATPase  K+-dependent  ribosome-associated  K06942"
"ychF","turquoise","catalase inhibitor protein  ATPase  K+-dependent  ribosome-associated  K06942"
"ychH","turquoise","predicted inner membrane protein"
"ychJ","blue","conserved protein  UPF0225 family  K09858 SEC-C motif domain protein"
"ychN","turquoise","conserved protein  K06039 uncharacterized protein involved in oxidation of intracellular sulfur"
"ychQ","yellow","predicted inner membrane protein  SIRB family"
"yciA","turquoise","acyl-CoA esterase  K10806 acyl-CoA thioesterase YciA [EC:3.1.2.-]"
"yciB","yellow","predicted inner membrane protein  K06190 intracellular septation protein"
"yciC","brown","inner membrane protein  UPF0259 family"
"yciE","brown","predicted rubrerythrin/ferritin-like metal-binding protein"
"yciF","brown","predicted rubrerythrin/ferritin-like metal-binding protein"
"yciG","turquoise","predicted protein  K06884"
"yciH","green","initiation factor function partial mimic  SUI1 family  K03113 translation initiation factor 1"
"yciI","blue","predicted enzyme  K09780 hypothetical protein"
"yciK","turquoise","predicted oxoacyl-(acyl carrier protein) reductase  EmrKY-TolC system"
"yciK","turquoise","predicted oxoacyl-(acyl carrier protein) reductase  EmrKY-TolC system"
"yciM","blue","TPR-repeats-containing protein"
"yciO","yellow","predicted RNA binding protein"
"yciQ","turquoise","predicted inner membrane protein"
"yciS","green","DUF1049 family inner membrane protein  function unknown  K08992 putative membrane protein"
"yciT","yellow","global regulator of transcription  DeoR family"
"yciU","turquoise","conserved protein  UPF0263 family  K09901 hypothetical protein"
"yciV","turquoise","conserved protein  K07053"
"yciW","green","predicted oxidoreductase"
"yciX","brown","hypothetical protein"
"yciY","grey","hypothetical protein"
"yciZ","turquoise","hypothetical protein"
"ycjD","brown","conserved protein"
"ycjF","black","inner membrane protein  UPF0283 family  K08990 putative membrane protein"
"ycjG","turquoise","L-Ala-D/L-Glu epimerase"
"ycjM","turquoise","predicted glucosyltransferase  K00690 sucrose phosphorylase [EC:2.4.1.7]"
"ycjN","black","predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily  K02027 multiple sugar transport system substrate-binding protein"
"ycjO","turquoise","predicted sugar transporter subunit: membrane component of ABC superfamily  K02025 multiple sugar transport system permease protein"
"ycjP","turquoise","predicted sugar transporter subunit: membrane component of ABC superfamily  K02026 multiple sugar transport system permease protein"
"ycjQ","turquoise","predicted oxidoreductase  Zn-dependent and NAD(P)-binding"
"ycjR","red","predicted enzyme"
"ycjS","turquoise","predicted oxidoreductase  NADH-binding"
"ycjT","turquoise","predicted hydrolase  K04844 hypothetical glycosyl hydrolase [EC:3.2.1.-]"
"ycjU","brown","beta-phosphoglucomutase  K01838 beta-phosphoglucomutase [EC:5.4.2.6]"
"ycjV","turquoise","pseudogene"
"ycjW","turquoise","predicted DNA-binding transcriptional regulator"
"ycjX","blue","conserved protein with nucleoside triphosphate hydrolase domain  K06918"
"ycjY","blue","predicted hydrolase  K06889"
"ydaE","yellow","Rac prophage  conserved protein"
"ydaF","turquoise","Rac prophage  predicted protein"
"ydaG","turquoise","Rac prophage  predicted protein"
"ydaM","brown","diguanylate cyclase  csgD regulator"
"ydaN","turquoise","predicted Zn(II) transporter  K16074 zinc transporter"
"ydaQ","red","Rac prophage  conserved protein"
"ydaS","blue","Rac prophage  predicted DNA-binding transcriptional regulator"
"ydaT","turquoise","Rac prophage  predicted protein"
"ydaU","yellow","Rac prophage  conserved protein"
"ydaV","blue","Rac prophage  predicted DNA replication protein  K10762 putative replication protein"
"ydaW","turquoise","pseudogene"
"ydaY","blue","pseudogene"
"ydbA","turquoise","pseudogene"
"ydbA","turquoise","pseudogene"
"ydbA","turquoise","pseudogene"
"ydbC","black","predicted oxidoreductase  NAD(P)-binding"
"ydbD","turquoise","predicted PF10971 family periplasmic methylglyoxal resistance protein"
"ydbH","turquoise","predicted protein"
"ydbJ","green","predicted lipoprotein  DUF333 family"
"ydbK","turquoise","fused predicted pyruvate-flavodoxin oxidoreductase: conserved protein/conserved protein/FeS binding protein  K03737 putative pyruvate-flavodoxin oxidoreductase [EC:1.2.7.-]"
"ydbL","black","conserved protein  K09978 hypothetical protein"
"ydcA","brown","predicted protein"
"ydcC","turquoise","conserved protein"
"ydcD","yellow","predicted protein"
"ydcD","yellow","predicted protein"
"ydcF","turquoise","conserved SAM-binding protein  DUF218 family"
"ydcH","red","DUF465 family protein  function unknown  K09794 hypothetical protein"
"ydcI","green","predicted DNA-binding transcriptional regulator"
"ydcJ","brown","predicted metalloenzyme"
"ydcK","yellow","predicted enzyme"
"ydcL","turquoise","lipoprotein"
"ydcN","turquoise","predicted DNA-binding transcriptional regulator"
"ydcO","turquoise","inner membrane protein  predicted transporter  function unknown  K05782 benzoate membrane transport protein"
"ydcP","turquoise","predicted peptidase  K08303 putative protease [EC:3.4.-.-]"
"ydcP","turquoise","predicted peptidase  K08303 putative protease [EC:3.4.-.-]"
"ydcR","blue","fused predicted DNA-binding transcriptional regulator/predicted amino transferase"
"ydcS","turquoise","polyhydroxybutyrate (PHB) synthase  ABC transporter periplasmic binding protein homolog  K02055 putative spermidine/putrescine transport system substrate-binding protein"
"ydcT","turquoise","predicted spermidine/putrescine transporter subunit  K02052 putative spermidine/putrescine transport system ATP-binding protein"
"ydcU","turquoise","predicted spermidine/putrescine transporter subunit  K02054 putative spermidine/putrescine transport system permease protein"
"ydcV","yellow","predicted spermidine/putrescine transporter subunit  K02053 putative spermidine/putrescine transport system permease protein"
"ydcX","blue","conserved protein  DUF2566 family"
"ydcY","turquoise","predicted protein"
"ydcZ","green","inner membrane protein  DUF606 family  K09936 bacterial/archaeal transporter family-2 protein"
"yddA","turquoise","fused predicted multidrug transporter subunits of ABC superfamily: membrane component/ATP-binding component  K02471 putative ATP-binding cassette transporter"
"yddB","turquoise","predicted porin protein"
"yddE","red","conserved predicted enzyme  PhzC-PhzF family"
"yddG","turquoise","aromatic amino acid exporter"
"yddH","black","conserved protein"
"yddK","turquoise","pseudogene"
"yddL","red","pseudogene"
"yddM","turquoise","predicted DNA-binding transcriptional regulator"
"yddW","turquoise","liprotein  glycosyl hydrolase homolog"
"ydeA","turquoise","arabinose efflux transporter  arabinose-inducible  K08159 MFS transporter  DHA1 family  L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein"
"ydeA","turquoise","arabinose efflux transporter  arabinose-inducible  K08159 MFS transporter  DHA1 family  L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein"
"ydeE","turquoise","predicted transporter"
"ydeH","turquoise","diguanylate cyclase  required for pgaD induction"
"ydeI","blue","conserved protein"
"ydeJ","blue","conserved protein"
"ydeM","blue","conserved protein  K06871 uncharacterized protein"
"ydeN","turquoise","conserved protein  K01138 uncharacterized sulfatase [EC:3.1.6.-]"
"ydeO","brown","UV-inducible global regulator  EvgA-  GadE-dependent"
"ydeO","brown","UV-inducible global regulator  EvgA-  GadE-dependent"
"ydeO","brown","UV-inducible global regulator  EvgA-  GadE-dependent"
"ydeP","brown","predicted oxidoreductase"
"ydeQ","turquoise","predicted fimbrial-like adhesin protein"
"ydeR","turquoise","predicted fimbrial-like adhesin protein"
"ydeS","turquoise","predicted fimbrial-like adhesin protein"
"ydeT","turquoise","pseudogene"
"ydfA","turquoise","Qin prophage  predicted protein"
"ydfB","turquoise","Qin prophage  predicted protein"
"ydfC","blue","conserved protein  Qin prophage"
"ydfD","turquoise","Qin prophage  predicted protein"
"ydfE","blue","pseudogene"
"ydfG","turquoise","malonic semialdehyde reductase  NADPH-dependent  L-allo-threonine dehydrogenase  NAD(P)-dependent  also oxidizes L-serine  D-serine  D-threonine and 3-hydroxyisobutyrate  K16066 malonic semialdehyde reductase [EC:1.1.1.-]"
"ydfI","yellow","predicted D-mannonate oxidoreductase  NAD-dependent"
"ydfJ","turquoise","pseudogene"
"ydfJ","turquoise","pseudogene"
"ydfO","green","Qin prophage  predicted protein"
"ydfR","turquoise","Qin prophage  predicted protein"
"ydfU","black","Qin prophage  predicted protein"
"ydfV","grey","Qin prophage  predicted protein"
"ydfX","blue","pseudogene"
